Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,Player_Clean,Team_Clean,Reliable_Advanced_Stats
400.0,A.J. Green,23.0,MIL,SG,35.0,1.0,345.0,11.5,0.607,0.84,0.032,1.9,11.3,6.8,8.7,0.8,0.0,6.6,16.6,0.5,0.3,0.8,0.111,-0.3,-0.6,-0.9,0.1,,2023,A.J. Green,MIL,True
333.0,A.J. Green,24.0,MIL,SG,56.0,0.0,614.0,10.5,0.617,0.862,0.097,1.6,9.6,5.7,6.4,0.7,0.6,5.5,15.2,0.7,0.3,1.1,0.084,-0.4,-1.7,-2.1,0.0,,2024,A.J. Green,MIL,True
152.0,A.J. Green,25.0,MIL,SG,73.0,7.0,1659.0,9.2,0.621,0.856,0.064,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,1.6,1.3,2.8,0.082,-1.7,-0.4,-2.2,-0.1,,2025,A.J. Green,MIL,True
466.0,A.J. Lawson,22.0,2TM,SG,15.0,0.0,108.0,13.9,0.589,0.568,0.182,6.4,16.3,11.3,3.0,0.9,0.0,5.9,21.1,0.1,0.1,0.1,0.063,-1.5,-2.9,-4.4,-0.1,,2023,A.J. Lawson,2TM,False
410.0,A.J. Lawson,23.0,DAL,SG,42.0,0.0,311.0,11.2,0.519,0.413,0.19,4.9,12.6,8.8,8.9,1.5,0.8,9.6,20.0,0.0,0.3,0.2,0.036,-3.1,-1.5,-4.6,-0.2,,2024,A.J. Lawson,DAL,True
379.0,A.J. Lawson,24.0,TOR,SG,26.0,2.0,486.0,12.7,0.542,0.532,0.332,4.3,14.9,9.5,9.1,1.3,1.2,6.4,20.0,0.4,0.4,0.8,0.081,-1.5,-1.0,-2.5,-0.1,,2025,A.J. Lawson,TOR,True
200.0,AJ Griffin,19.0,ATL,SF,72.0,12.0,1401.0,12.6,0.577,0.486,0.088,2.9,9.2,6.0,7.0,1.4,0.7,7.1,17.9,1.3,0.9,2.2,0.075,-0.3,-0.5,-0.8,0.4,,2023,AJ Griffin,ATL,True
445.0,AJ Griffin,20.0,ATL,SF,20.0,0.0,171.0,1.2,0.382,0.629,0.032,1.2,10.6,5.7,3.7,0.3,1.1,11.3,17.3,-0.4,0.0,-0.4,-0.12,-6.0,-3.5,-9.6,-0.3,,2024,AJ Griffin,ATL,False
338.0,AJ Johnson,20.0,2TM,SG,29.0,11.0,639.0,7.1,0.48,0.423,0.174,1.3,8.3,4.8,17.1,0.9,0.4,13.2,17.4,-0.5,0.0,-0.4,-0.032,-5.6,-2.5,-8.1,-1.0,,2025,AJ Johnson,2TM,True
50.0,Aaron Gordon,24.0,ORL,PF,62.0,62.0,2017.0,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0.0,1.0,,2020,Aaron Gordon,ORL,True
