Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,Player_Clean,Team_Clean,Current_Salary,Salary_Tier,Salary_Millions,Has_Salary_Data,Multi_Year_Contract,Total_Contract_Value
1,Stephen Curry,GSW,59606817,62587158,,,,,"$122,193,975",Stephen Curry,GSW,59606817,Superstar,59.606817,True,True,122193975.0
2,Joel Embiid,PHI,55224526,57985752,,,,,"$175,834,890",Joel Embiid,PHI,55224526,Superstar,55.224526,True,True,113210278.0
3,Nikola Jokić,DEN,55224526,59033114,,,,,"$114,257,640",Nikola Jokić,DEN,55224526,Superstar,55.224526,True,True,114257640.0
5,Jayson Tatum,BOS,54126450,58456566,,,,,"$242,486,496",Jayson Tatum,BOS,54126450,Superstar,54.12645,True,True,112583016.0
6,Giannis Antetokounmpo,MIL,54126450,58456566,,,,,"$112,583,016",Giannis Antetokounmpo,MIL,54126450,Superstar,54.12645,True,True,112583016.0
7,Anthony Davis,DAL,54126450,58456566,,,,,"$112,583,016",Anthony Davis,DAL,54126450,Superstar,54.12645,True,True,112583016.0
8,Jimmy Butler,GSW,54126450,56832773,,,,,"$110,959,223",Jimmy Butler,GSW,54126450,Superstar,54.12645,True,True,110959223.0
11,Jaylen Brown,BOS,53142264,57078728,,,,,"$236,187,840",Jaylen Brown,BOS,53142264,Superstar,53.142264,True,True,110220992.0
12,Devin Booker,PHO,53142264,57078728,,,,,"$171,236,184",Devin Booker,PHX,53142264,Superstar,53.142264,True,True,110220992.0
13,Karl-Anthony Towns,NYK,53142264,57078728,,,,,"$110,220,992",Karl-Anthony Towns,NYK,53142264,Superstar,53.142264,True,True,110220992.0
15,Paul George,PHI,51666090,54126380,,,,,"$105,792,470",Paul George,PHI,51666090,Superstar,51.66609,True,True,105792470.0
16,Kawhi Leonard,LAC,50000000,50300000,,,,,"$100,300,000",Kawhi Leonard,LAC,50000000,Superstar,50.0,True,True,100300000.0
