Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Season,Player_Clean,Team_Clean,MPG,PPG,RPG,APG,Significant_Player,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Reliable_Advanced_Stats,Current_Salary,Salary_Tier,Salary_Millions,Has_Salary_Data,Points_Per_Million,WinShares_Per_Million,VORP_Per_Million,Career_Stage
383.0,A.J. Green,23.0,MIL,SG,35.0,1.0,345.0,53.0,125.0,0.424,44.0,105.0,0.419,9.0,20.0,0.45,0.6,4.0,4.0,1.0,6.0,39.0,45.0,22.0,6.0,0.0,9.0,31.0,154.0,0.0,,2023,A.J. Green,MIL,9.857142857142858,4.4,1.2857142857142858,0.6285714285714286,False,11.5,0.607,0.84,0.032,1.9,11.3,6.8,8.7,0.8,0.0,6.6,16.6,0.5,0.3,0.8,0.111,-0.3,-0.6,-0.9,0.1,True,,,,False,,,,Rookie/Young
313.0,A.J. Green,24.0,MIL,SG,56.0,0.0,614.0,83.0,196.0,0.423,69.0,169.0,0.408,14.0,27.0,0.519,0.599,17.0,19.0,0.895,9.0,55.0,64.0,30.0,9.0,4.0,12.0,49.0,252.0,0.0,,2024,A.J. Green,MIL,10.964285714285714,4.5,1.1428571428571428,0.5357142857142857,True,10.5,0.617,0.862,0.097,1.6,9.6,5.7,6.4,0.7,0.6,5.5,15.2,0.7,0.3,1.1,0.084,-0.4,-1.7,-2.1,0.0,True,,,,False,,,,Developing
214.0,A.J. Green,25.0,MIL,SG,73.0,7.0,1659.0,182.0,424.0,0.429,155.0,363.0,0.427,27.0,61.0,0.443,0.612,22.0,27.0,0.815,18.0,156.0,174.0,108.0,37.0,7.0,40.0,157.0,541.0,0.0,,2025,A.J. Green,MIL,22.726027397260275,7.410958904109589,2.3835616438356166,1.4794520547945205,True,9.2,0.621,0.856,0.064,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,1.6,1.3,2.8,0.082,-1.7,-0.4,-2.2,-0.1,True,,,,False,,,,Developing
438.0,A.J. Lawson,22.0,2TM,SG,15.0,0.0,108.0,22.0,44.0,0.5,10.0,25.0,0.4,12.0,19.0,0.632,0.614,2.0,8.0,0.25,6.0,15.0,21.0,2.0,2.0,0.0,3.0,11.0,56.0,0.0,,2023,A.J. Lawson,2TM,7.2,3.7333333333333334,1.4,0.13333333333333333,False,13.9,0.589,0.568,0.182,6.4,16.3,11.3,3.0,0.9,0.0,5.9,21.1,0.1,0.1,0.1,0.063,-1.5,-2.9,-4.4,-0.1,False,,,,False,,,,Rookie/Young
385.0,A.J. Lawson,23.0,DAL,SG,42.0,0.0,311.0,54.0,121.0,0.446,13.0,50.0,0.26,41.0,71.0,0.577,0.5,15.0,23.0,0.652,14.0,36.0,50.0,20.0,10.0,3.0,14.0,22.0,136.0,0.0,,2024,A.J. Lawson,DAL,7.404761904761905,3.238095238095238,1.1904761904761905,0.47619047619047616,False,11.2,0.519,0.413,0.19,4.9,12.6,8.8,8.9,1.5,0.8,9.6,20.0,0.0,0.3,0.2,0.036,-3.1,-1.5,-4.6,-0.2,True,,,,False,,,,Rookie/Young
337.0,A.J. Lawson,24.0,TOR,SG,26.0,2.0,486.0,80.0,190.0,0.421,33.0,101.0,0.327,47.0,89.0,0.528,0.508,43.0,63.0,0.683,20.0,66.0,86.0,31.0,13.0,6.0,15.0,44.0,236.0,0.0,,2025,A.J. Lawson,TOR,18.692307692307693,9.076923076923077,3.3076923076923075,1.1923076923076923,True,12.7,0.542,0.532,0.332,4.3,14.9,9.5,9.1,1.3,1.2,6.4,20.0,0.4,0.4,0.8,0.081,-1.5,-1.0,-2.5,-0.1,True,,,,False,,,,Developing
185.0,AJ Griffin,19.0,ATL,SF,72.0,12.0,1401.0,248.0,533.0,0.465,101.0,259.0,0.39,147.0,274.0,0.536,0.56,42.0,47.0,0.894,37.0,116.0,153.0,73.0,42.0,12.0,42.0,87.0,639.0,0.0,,2023,AJ Griffin,ATL,19.458333333333332,8.875,2.125,1.0138888888888888,True,12.6,0.577,0.486,0.088,2.9,9.2,6.0,7.0,1.4,0.7,7.1,17.9,1.3,0.9,2.2,0.075,-0.3,-0.5,-0.8,0.4,True,,,,False,,,,Rookie/Young
451.0,AJ Griffin,20.0,ATL,SF,20.0,0.0,171.0,18.0,62.0,0.29,10.0,39.0,0.256,8.0,23.0,0.348,0.371,2.0,2.0,1.0,2.0,16.0,18.0,5.0,1.0,2.0,8.0,6.0,48.0,0.0,,2024,AJ Griffin,ATL,8.55,2.4,0.9,0.25,False,1.2,0.382,0.629,0.032,1.2,10.6,5.7,3.7,0.3,1.1,11.3,17.3,-0.4,0.0,-0.4,-0.12,-6.0,-3.5,-9.6,-0.3,False,,,,False,,,,Rookie/Young
347.0,AJ Johnson,20.0,2TM,SG,29.0,11.0,639.0,82.0,213.0,0.385,24.0,90.0,0.267,58.0,123.0,0.472,0.441,32.0,37.0,0.865,8.0,51.0,59.0,76.0,12.0,3.0,35.0,50.0,220.0,0.0,,2025,AJ Johnson,2TM,22.03448275862069,7.586206896551724,2.0344827586206895,2.6206896551724137,True,7.1,0.48,0.423,0.174,1.3,8.3,4.8,17.1,0.9,0.4,13.2,17.4,-0.5,0.0,-0.4,-0.032,-5.6,-2.5,-8.1,-1.0,True,3090480.0,Rookie/Min,3.09048,True,71.18635292899485,-0.12942973259817248,-0.32357433149543113,Rookie/Young
81.0,Aaron Gordon,24.0,ORL,PF,62.0,62.0,2017.0,335.0,767.0,0.437,73.0,237.0,0.308,262.0,530.0,0.494,0.484,151.0,224.0,0.674,107.0,368.0,475.0,228.0,51.0,39.0,100.0,125.0,894.0,1.0,,2020,Aaron Gordon,ORL,32.53225806451613,14.419354838709678,7.661290322580645,3.6774193548387095,True,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0.0,1.0,True,,,,False,,,,Developing
156.0,Aaron Gordon,25.0,2TM,PF,50.0,50.0,1384.0,231.0,499.0,0.463,59.0,176.0,0.335,172.0,323.0,0.533,0.522,97.0,149.0,0.651,77.0,207.0,284.0,161.0,33.0,34.0,97.0,89.0,618.0,1.0,,2021,Aaron Gordon,2TM,27.68,12.36,5.68,3.22,True,14.5,0.547,0.353,0.299,6.0,16.4,11.1,17.8,1.2,2.3,14.7,20.7,0.7,1.2,1.9,0.066,0.2,-0.1,0.1,0.7,True,,,,False,,,,Developing
64.0,Aaron Gordon,26.0,DEN,PF,75.0,75.0,2376.0,434.0,834.0,0.52,87.0,260.0,0.335,347.0,574.0,0.605,0.573,171.0,230.0,0.743,125.0,314.0,439.0,188.0,44.0,44.0,133.0,148.0,1126.0,0.0,,2022,Aaron Gordon,DEN,31.68,15.013333333333334,5.8533333333333335,2.506666666666667,True,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2.0,5.2,0.105,0.5,-1.1,-0.6,0.9,True,,,,False,,,,Developing
83.0,Aaron Gordon,27.0,DEN,PF,68.0,68.0,2055.0,429.0,761.0,0.564,60.0,173.0,0.347,369.0,588.0,0.628,0.603,191.0,314.0,0.608,164.0,282.0,446.0,203.0,54.0,51.0,98.0,129.0,1109.0,0.0,,2023,Aaron Gordon,DEN,30.220588235294116,16.308823529411764,6.5588235294117645,2.985294117647059,True,19.5,0.617,0.227,0.413,9.4,15.4,12.5,14.2,1.3,2.2,9.8,21.1,4.6,2.2,6.8,0.158,2.4,-0.3,2.1,2.1,True,,,,False,,,,Developing
93.0,Aaron Gordon,28.0,DEN,PF,73.0,73.0,2297.0,398.0,716.0,0.556,40.0,138.0,0.29,358.0,578.0,0.619,0.584,177.0,269.0,0.658,174.0,297.0,471.0,259.0,56.0,45.0,105.0,142.0,1013.0,0.0,,2024,Aaron Gordon,DEN,31.465753424657535,13.876712328767123,6.4520547945205475,3.547945205479452,True,16.8,0.607,0.193,0.376,8.6,13.9,11.4,15.2,1.2,1.7,11.2,17.8,4.5,2.6,7.1,0.148,1.2,0.1,1.3,1.9,True,,,,False,,,,Prime
139.0,Aaron Gordon,29.0,DEN,PF,51.0,42.0,1447.0,264.0,497.0,0.531,75.0,172.0,0.436,189.0,325.0,0.582,0.607,145.0,179.0,0.81,80.0,167.0,247.0,164.0,23.0,14.0,73.0,82.0,748.0,0.0,,2025,Aaron Gordon,DEN,28.372549019607842,14.666666666666666,4.8431372549019605,3.215686274509804,True,17.0,0.65,0.346,0.36,6.4,12.1,9.4,15.0,0.8,0.9,11.3,19.0,3.6,0.7,4.3,0.143,2.7,-1.5,1.2,1.2,True,22841455.0,Star,22.841455,True,32.74747602549838,0.18825420709845322,0.05253605779491718,Prime
574.0,Aaron Henry,22.0,PHI,SF,6.0,0.0,17.0,1.0,5.0,0.2,0.0,1.0,0.0,1.0,4.0,0.25,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,,2022,Aaron Henry,PHI,2.8333333333333335,0.3333333333333333,0.16666666666666666,0.0,False,0.0,0.2,0.2,0.0,0.0,6.5,3.3,0.0,0.0,10.6,28.6,18.5,-0.1,0.0,-0.1,-0.306,-14.0,-2.4,-15.0,-0.1,False,,,,False,,,,Rookie/Young
151.0,Aaron Holiday,23.0,IND,PG,66.0,33.0,1617.0,233.0,563.0,0.414,87.0,221.0,0.394,146.0,342.0,0.427,0.491,74.0,87.0,0.851,22.0,134.0,156.0,225.0,55.0,16.0,88.0,120.0,627.0,0.0,,2020,Aaron Holiday,IND,24.5,9.5,2.3636363636363638,3.409090909090909,True,11.6,0.521,0.393,0.155,1.5,9.0,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0.0,-1.6,0.2,True,,,,False,,,,Rookie/Young
203.0,Aaron Holiday,24.0,IND,PG,66.0,8.0,1176.0,170.0,436.0,0.39,67.0,182.0,0.368,103.0,254.0,0.406,0.467,68.0,83.0,0.819,15.0,74.0,89.0,123.0,46.0,13.0,66.0,94.0,475.0,0.0,,2021,Aaron Holiday,IND,17.818181818181817,7.196969696969697,1.3484848484848484,1.8636363636363635,True,9.2,0.503,0.417,0.19,1.4,6.8,4.1,14.0,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,0.009,-3.3,-0.9,-4.2,-0.7,True,,,,False,,,,Developing
