Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Season,Player_Clean,Team_Clean,MPG,PPG,RPG,APG,Significant_Player,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Reliable_Advanced_Stats,Current_Salary,Salary_Tier,Salary_Millions,Has_Salary_Data,Points_Per_Million,WinShares_Per_Million,VORP_Per_Million,Career_Stage,PER_Percentile,VORP_Percentile,BPM_Percentile,WS_Percentile,Performance_Score,Position_Adjusted_Score,Age_Adjustment,Age_Adjusted_Performance,Games_Played_Pct,Heavy_Minutes,Starter_Flag,Durability_Score,Predicted_Salary_Millions,Salary_Premium,Value_Rating,Contract_Type,Value_Classification,Contract_Risk,Salary_Millions_sum,Salary_Millions_mean,Salary_Pct_of_Team,Team_Salary_Rank,Team_Role,League_Salary_Percentile,Position_Market_Salary,Position_Salary_Premium,PER_YoY_Change,PER_Trend,VORP_YoY_Change,VORP_Trend,Performance_Score_YoY_Change,Performance_Score_Trend,Years_Experience,Career_Games,Career_Minutes,PER_Consistency,PPG_Consistency,Performance_Score_Consistency,PER_Career_High,PER_Pct_of_Career_High,VORP_Career_High,VORP_Pct_of_Career_High,Performance_Score_Career_High,Performance_Score_Pct_of_Career_High,Potential_Contract_Year,Age_Arc_Multiplier,Projected_Performance
383.0,A.J. Green,23.0,MIL,SG,35.0,1.0,345.0,53.0,125.0,0.424,44.0,105.0,0.419,9.0,20.0,0.45,0.6,4.0,4.0,1.0,6.0,39.0,45.0,22.0,6.0,0.0,9.0,31.0,154.0,0.0,,2023,A.J. Green,MIL,9.857142857142858,4.4,1.2857142857142858,0.6285714285714286,False,11.5,0.607,0.84,0.032,1.9,11.3,6.8,8.7,0.8,0.0,6.6,16.6,0.5,0.3,0.8,0.111,-0.3,-0.6,-0.9,0.1,True,,,,False,,,,Rookie/Young,37.96296296296296,50.55555555555556,56.75925925925925,38.05555555555556,45.82870370370371,7.457142857142857,0.85,38.95439814814815,0.42168674698795183,0,0,0.35158347676419965,4.906864690000001,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Bench_Player,0.0,,0.0,,,,,,,1,35.0,345.0,,,,11.5,100.0,0.1,100.0,45.82870370370371,100.0,0,1.1,50.41157407407408
313.0,A.J. Green,24.0,MIL,SG,56.0,0.0,614.0,83.0,196.0,0.423,69.0,169.0,0.408,14.0,27.0,0.519,0.599,17.0,19.0,0.895,9.0,55.0,64.0,30.0,9.0,4.0,12.0,49.0,252.0,0.0,,2024,A.J. Green,MIL,10.964285714285714,4.5,1.1428571428571428,0.5357142857142857,True,10.5,0.617,0.862,0.097,1.6,9.6,5.7,6.4,0.7,0.6,5.5,15.2,0.7,0.3,1.1,0.084,-0.4,-1.7,-2.1,0.0,True,,,,False,,,,Developing,31.239092495637,41.44851657940663,42.495636998254795,47.38219895287958,39.83420593368237,7.42857142857143,0.95,37.84249563699825,0.6666666666666666,0,0,0.5096428571428571,3.3622829799999976,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Bench_Player,0.0,,0.0,-1.0,-1.0,-0.1,-0.1,-5.99449777002134,-5.99449777002134,2,91.0,959.0,0.0642824346533225,0.015890040026663933,0.09896348468508706,11.5,91.30434782608695,0.1,0.0,45.82870370370371,86.9197745396039,0,1.05,41.82591623036649
214.0,A.J. Green,25.0,MIL,SG,73.0,7.0,1659.0,182.0,424.0,0.429,155.0,363.0,0.427,27.0,61.0,0.443,0.612,22.0,27.0,0.815,18.0,156.0,174.0,108.0,37.0,7.0,40.0,157.0,541.0,0.0,,2025,A.J. Green,MIL,22.726027397260275,7.410958904109589,2.3835616438356166,1.4794520547945205,True,9.2,0.621,0.856,0.064,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,1.6,1.3,2.8,0.082,-1.7,-0.4,-2.2,-0.1,True,,,,False,,,,Developing,17.192982456140353,25.17543859649123,37.368421052631575,68.85964912280701,34.56578947368421,13.39041095890411,0.95,32.8375,0.8902439024390244,0,0,0.7614066154360174,6.656868260000001,,,Unknown,No_Salary_Data,No_Data,58.3,19.43,0.0,999.0,Bench_Player,0.0,5.91012,0.0,-1.3000000000000007,-1.3000000000000007,-0.1,-0.1,-5.268416459998157,-5.268416459998157,3,164.0,2618.0,0.1108900249487577,0.314556883673555,0.14061592124650388,11.5,80.0,0.1,-100.0,45.82870370370371,75.42388651697938,0,1.05,36.294078947368426
438.0,A.J. Lawson,22.0,2TM,SG,15.0,0.0,108.0,22.0,44.0,0.5,10.0,25.0,0.4,12.0,19.0,0.632,0.614,2.0,8.0,0.25,6.0,15.0,21.0,2.0,2.0,0.0,3.0,11.0,56.0,0.0,,2023,A.J. Lawson,2TM,7.2,3.733333333333333,1.4,0.1333333333333333,False,13.9,0.589,0.568,0.182,6.4,16.3,11.3,3.0,0.9,0.0,5.9,21.1,0.1,0.1,0.1,0.063,-1.5,-2.9,-4.4,-0.1,False,,,,False,,,,Rookie/Young,56.75925925925925,24.814814814814813,14.166666666666666,16.574074074074076,30.087962962962962,6.24,0.85,25.574768518518518,0.18072289156626506,0,0,0.18043373493975903,3.2607407300000006,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Bench_Player,0.0,,0.0,,,,,,,1,15.0,108.0,,,,13.9,100.0,-0.1,100.0,30.087962962962962,100.0,0,1.1,33.09675925925926
385.0,A.J. Lawson,23.0,DAL,SG,42.0,0.0,311.0,54.0,121.0,0.446,13.0,50.0,0.26,41.0,71.0,0.577,0.5,15.0,23.0,0.652,14.0,36.0,50.0,20.0,10.0,3.0,14.0,22.0,136.0,0.0,,2024,A.J. Lawson,DAL,7.404761904761905,3.238095238095238,1.1904761904761905,0.4761904761904761,False,11.2,0.519,0.413,0.19,4.9,12.6,8.8,8.9,1.5,0.8,9.6,20.0,0.0,0.3,0.2,0.036,-3.1,-1.5,-4.6,-0.2,True,,,,False,,,,Rookie/Young,36.474694589877835,17.539267015706805,18.1500872600349,25.30541012216405,24.925828970331587,5.871428571428572,0.85,21.186954624781848,0.5,0,0,0.3740476190476191,2.9480304600000005,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Bench_Player,0.0,,0.0,-2.700000000000001,-2.700000000000001,-0.1,-0.1,-5.162133992631375,-5.162133992631375,2,57.0,419.0,0.15212655850228518,0.10046325852923617,0.13270054011216523,13.9,80.5755395683453,-0.1,200.0,30.087962962962962,82.84319214635516,0,1.1,27.418411867364746
337.0,A.J. Lawson,24.0,TOR,SG,26.0,2.0,486.0,80.0,190.0,0.421,33.0,101.0,0.327,47.0,89.0,0.528,0.508,43.0,63.0,0.683,20.0,66.0,86.0,31.0,13.0,6.0,15.0,44.0,236.0,0.0,,2025,A.J. Lawson,TOR,18.692307692307693,9.076923076923077,3.3076923076923075,1.1923076923076923,True,12.7,0.542,0.532,0.332,4.3,14.9,9.5,9.1,1.3,1.2,6.4,20.0,0.4,0.4,0.8,0.081,-1.5,-1.0,-2.5,-0.1,True,,,,False,,,,Developing,47.80701754385965,25.17543859649123,33.50877192982456,39.03508771929825,36.82017543859649,16.138461538461538,0.95,34.979166666666664,0.3170731707317073,0,0,0.3771669793621013,4.228516730000001,,,Unknown,No_Salary_Data,No_Data,132.86,14.76,0.0,999.0,Bench_Player,0.0,5.91012,0.0,1.5,1.5,0.1,0.1,11.894346468264906,11.894346468264906,3,83.0,905.0,0.1073630893529261,0.6052152618610851,0.19484357045007483,13.9,91.36690647482013,-0.1,100.0,36.82017543859649,100.0,0,1.05,38.66118421052632
185.0,AJ Griffin,19.0,ATL,SF,72.0,12.0,1401.0,248.0,533.0,0.465,101.0,259.0,0.39,147.0,274.0,0.536,0.56,42.0,47.0,0.894,37.0,116.0,153.0,73.0,42.0,12.0,42.0,87.0,639.0,0.0,,2023,AJ Griffin,ATL,19.45833333333333,8.875,2.125,1.0138888888888888,True,12.6,0.577,0.486,0.088,2.9,9.2,6.0,7.0,1.4,0.7,7.1,17.9,1.3,0.9,2.2,0.075,-0.3,-0.5,-0.8,0.4,True,,,,False,,,,Rookie/Young,46.75925925925926,66.20370370370371,58.14814814814815,60.18518518518518,57.15277777777778,13.618055555555557,0.85,48.57986111111111,0.8674698795180723,0,0,0.7150652610441767,6.016468170000001,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Bench_Player,0.0,,0.0,,,,,,,1,72.0,1401.0,,,,12.6,100.0,0.4,100.0,57.15277777777778,100.0,0,1.1,62.868055555555564
451.0,AJ Griffin,20.0,ATL,SF,20.0,0.0,171.0,18.0,62.0,0.29,10.0,39.0,0.256,8.0,23.0,0.348,0.371,2.0,2.0,1.0,2.0,16.0,18.0,5.0,1.0,2.0,8.0,6.0,48.0,0.0,,2024,AJ Griffin,ATL,8.55,2.4,0.9,0.25,False,1.2,0.382,0.629,0.032,1.2,10.6,5.7,3.7,0.3,1.1,11.3,17.3,-0.4,0.0,-0.4,-0.12,-6.0,-3.5,-9.6,-0.3,False,,,,False,,,,Rookie/Young,4.18848167539267,11.8673647469459,4.799301919720768,1.4834205933682374,5.719895287958115,3.92,0.85,4.861910994764398,0.23809523809523808,0,0,0.22835714285714287,2.83135004,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Bench_Player,0.0,,0.0,-11.4,-11.4,-0.7,-0.7,-51.43288248981966,-51.43288248981966,2,92.0,1572.0,1.1682633776125568,0.8121536865956355,1.1568949819104257,12.6,9.523809523809524,0.4,-74.99999999999999,57.15277777777778,10.008079240169728,0,1.1,6.291884816753927
347.0,AJ Johnson,20.0,2TM,SG,29.0,11.0,639.0,82.0,213.0,0.385,24.0,90.0,0.267,58.0,123.0,0.472,0.441,32.0,37.0,0.865,8.0,51.0,59.0,76.0,12.0,3.0,35.0,50.0,220.0,0.0,,2025,AJ Johnson,2TM,22.03448275862069,7.586206896551724,2.034482758620689,2.6206896551724137,True,7.1,0.48,0.423,0.174,1.3,8.3,4.8,17.1,0.9,0.4,13.2,17.4,-0.5,0.0,-0.4,-0.032,-5.6,-2.5,-8.1,-1.0,True,3090480.0,Rookie/Min,3.09048,True,71.18635292899485,-0.1294297325981724,-0.3235743314954311,Rookie/Young,9.649122807017543,1.6666666666666667,5.263157894736842,1.6666666666666667,4.960526315789473,14.144827586206898,0.85,4.2164473684210515,0.35365853658536583,0,0,0.4325399495374264,3.771108370000006,-18.048496707613975,1.6050989864970726,Rookie_Scale,Average_Value,High_Risk,352.57,22.04,0.8765578466687466,13.0,Bench_Player,24.65753424657534,5.91012,-47.70867596597024,,,,,,,1,29.0,639.0,,,,7.1,100.0,-1.0,100.0,4.960526315789473,100.0,0,1.1,5.4565789473684205
81.0,Aaron Gordon,24.0,ORL,PF,62.0,62.0,2017.0,335.0,767.0,0.437,73.0,237.0,0.308,262.0,530.0,0.494,0.484,151.0,224.0,0.674,107.0,368.0,475.0,228.0,51.0,39.0,100.0,125.0,894.0,1.0,,2020,Aaron Gordon,ORL,32.53225806451613,14.419354838709678,7.661290322580645,3.6774193548387095,True,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0.0,1.0,True,,,,False,,,,Developing,67.35849056603773,79.05660377358491,66.98113207547169,79.05660377358491,72.52830188679245,27.690322580645162,0.95,68.90188679245283,0.8378378378378378,1,1,0.828025283347864,20.20451921,,,Unknown,No_Salary_Data,No_Data,0.0,,0.0,999.0,Starter,0.0,,0.0,,,,,,,1,62.0,2017.0,,,,15.1,100.0,1.0,100.0,72.52830188679245,100.0,0,1.05,76.15471698113207
