Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Season,Player_Clean,Team_Clean,MPG,PPG,RPG,APG,Significant_Player,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Reliable_Advanced_Stats,Current_Salary,Salary_Tier,Salary_Millions,Has_Salary_Data,Points_Per_Million,WinShares_Per_Million,VORP_Per_Million,Career_Stage,Experience,Age_Squared,PTS_per_MP,Efficiency_Score,Top_Team,Age_Group,Performance_vs_Peers,Predicted_Value,Points_Per_Dollar,WinShares_Per_Dollar,VORP_Per_Dollar,Efficiency_Composite,Risk_Adjusted_Efficiency,Contract_Tier,Contract_Recommendation
383.0,A.J. Green,23.0,MIL,SG,35.0,1.0,345.0,53.0,125.0,0.424,44.0,105.0,0.419,9.0,20.0,0.45,0.6,4.0,4.0,1.0,6.0,39.0,45.0,22.0,6.0,0.0,9.0,31.0,154.0,0.0,,2023,A.J. Green,MIL,9.857142857142858,4.4,1.2857142857142858,0.6285714285714286,False,11.5,0.607,0.84,0.032,1.9,11.3,6.8,8.7,0.8,0.0,6.6,16.6,0.5,0.3,0.8,0.111,-0.3,-0.6,-0.9,0.1,True,,,,False,,,,Rookie/Young,3,529.0,0.4463768115942029,3.2199999999999998,False,Rookie/Young,1.4504504504504505,0.8714762127364122,15.331553811165433,0.07964443538267758,0.009955554422834698,0.027369216538587357,0.02682183220781561,Unknown,0.19
313.0,A.J. Green,24.0,MIL,SG,56.0,0.0,614.0,83.0,196.0,0.423,69.0,169.0,0.408,14.0,27.0,0.519,0.599,17.0,19.0,0.895,9.0,55.0,64.0,30.0,9.0,4.0,12.0,49.0,252.0,0.0,,2024,A.J. Green,MIL,10.964285714285714,4.5,1.1428571428571428,0.5357142857142857,True,10.5,0.617,0.862,0.097,1.6,9.6,5.7,6.4,0.7,0.6,5.5,15.2,0.7,0.3,1.1,0.084,-0.4,-1.7,-2.1,0.0,True,,,,False,,,,Developing,4,576.0,0.41042345276872966,2.52,False,Developing,0.7850467289719626,0.47572051759052175,25.087997145543437,0.10951109865118168,0.0,0.03659732807389135,0.035133434950935696,Unknown,0.61
214.0,A.J. Green,25.0,MIL,SG,73.0,7.0,1659.0,182.0,424.0,0.429,155.0,363.0,0.427,27.0,61.0,0.443,0.612,22.0,27.0,0.815,18.0,156.0,174.0,108.0,37.0,7.0,40.0,157.0,541.0,0.0,,2025,A.J. Green,MIL,22.726027397260275,7.410958904109589,2.3835616438356166,1.4794520547945205,True,9.2,0.621,0.856,0.064,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,1.6,1.3,2.8,0.082,-1.7,-0.4,-2.2,-0.1,True,,,,False,,,,Developing,5,625.0,0.32610006027727545,2.0599999999999996,False,Developing,0.6417445482866042,0.38383277939162697,53.85954942753571,0.2787555238393715,-0.009955554422834698,0.08319833005912507,0.07820643025557755,Unknown,0.53
438.0,A.J. Lawson,22.0,2TM,SG,15.0,0.0,108.0,22.0,44.0,0.5,10.0,25.0,0.4,12.0,19.0,0.632,0.614,2.0,8.0,0.25,6.0,15.0,21.0,2.0,2.0,0.0,3.0,11.0,56.0,0.0,,2023,A.J. Lawson,2TM,7.2,3.733333333333333,1.4,0.1333333333333333,False,13.9,0.589,0.568,0.182,6.4,16.3,11.3,3.0,0.9,0.0,5.9,21.1,0.1,0.1,0.1,0.063,-1.5,-2.9,-4.4,-0.1,False,,,,False,,,,Rookie/Young,3,484.0,0.5185185185185185,2.8099999999999996,True,Rookie/Young,1.2657657657657657,0.767193145055627,5.57511047678743,0.009955554422834698,-0.009955554422834698,0.0028449924167905575,0.0028449924167905575,Unknown,0.16
385.0,A.J. Lawson,23.0,DAL,SG,42.0,0.0,311.0,54.0,121.0,0.446,13.0,50.0,0.26,41.0,71.0,0.577,0.5,15.0,23.0,0.652,14.0,36.0,50.0,20.0,10.0,3.0,14.0,22.0,136.0,0.0,,2024,A.J. Lawson,DAL,7.404761904761905,3.238095238095238,1.1904761904761905,0.4761904761904761,False,11.2,0.519,0.413,0.19,4.9,12.6,8.8,8.9,1.5,0.8,9.6,20.0,0.0,0.3,0.2,0.036,-3.1,-1.5,-4.6,-0.2,True,,,,False,,,,Rookie/Young,4,529.0,0.43729903536977494,1.9,False,Rookie/Young,0.8558558558558559,0.5207948825859652,13.539554015055188,0.019911108845669396,-0.019911108845669396,0.007393039601658228,0.007245178809625064,Unknown,0.02
337.0,A.J. Lawson,24.0,TOR,SG,26.0,2.0,486.0,80.0,190.0,0.421,33.0,101.0,0.327,47.0,89.0,0.528,0.508,43.0,63.0,0.683,20.0,66.0,86.0,31.0,13.0,6.0,15.0,44.0,236.0,0.0,,2025,A.J. Lawson,TOR,18.692307692307693,9.076923076923077,3.3076923076923075,1.1923076923076923,True,12.7,0.542,0.532,0.332,4.3,14.9,9.5,9.1,1.3,1.2,6.4,20.0,0.4,0.4,0.8,0.081,-1.5,-1.0,-2.5,-0.1,True,,,,False,,,,Developing,5,576.0,0.48559670781893005,3.0199999999999996,True,Developing,0.9408099688473519,0.5728198649916674,23.495108437889886,0.07964443538267758,-0.009955554422834698,0.027527609637693604,0.02642650525218586,Unknown,0.2
185.0,AJ Griffin,19.0,ATL,SF,72.0,12.0,1401.0,248.0,533.0,0.465,101.0,259.0,0.39,147.0,274.0,0.536,0.56,42.0,47.0,0.894,37.0,116.0,153.0,73.0,42.0,12.0,42.0,87.0,639.0,0.0,,2023,AJ Griffin,ATL,19.45833333333333,8.875,2.125,1.0138888888888888,True,12.6,0.577,0.486,0.088,2.9,9.2,6.0,7.0,1.4,0.7,7.1,17.9,1.3,0.9,2.2,0.075,-0.3,-0.5,-0.8,0.4,True,,,,False,,,,Rookie/Young,3,361.0,0.45610278372591007,3.7,False,Rookie/Young,1.5163934426229508,0.9215476793421451,63.615992761913716,0.21902219730236336,0.03982221769133879,0.0940950939351976,0.09974079957130946,Unknown,0.61
451.0,AJ Griffin,20.0,ATL,SF,20.0,0.0,171.0,18.0,62.0,0.29,10.0,39.0,0.256,8.0,23.0,0.348,0.371,2.0,2.0,1.0,2.0,16.0,18.0,5.0,1.0,2.0,8.0,6.0,48.0,0.0,,2024,AJ Griffin,ATL,8.55,2.4,0.9,0.25,False,1.2,0.382,0.629,0.032,1.2,10.6,5.7,3.7,0.3,1.1,11.3,17.3,-0.4,0.0,-0.4,-0.12,-6.0,-3.5,-9.6,-0.3,False,,,,False,,,,Rookie/Young,4,400.0,0.2807017543859649,-2.64,False,Rookie/Young,-1.0819672131147542,-0.2012078676954916,4.778666122960654,-0.03982221769133879,-0.02986666326850409,-0.011890003050338582,-0.012365603172352125,Unknown,0.0
347.0,AJ Johnson,20.0,2TM,SG,29.0,11.0,639.0,82.0,213.0,0.385,24.0,90.0,0.267,58.0,123.0,0.472,0.441,32.0,37.0,0.865,8.0,51.0,59.0,76.0,12.0,3.0,35.0,50.0,220.0,0.0,,2025,AJ Johnson,2TM,22.03448275862069,7.586206896551724,2.034482758620689,2.6206896551724137,True,7.1,0.48,0.423,0.174,1.3,8.3,4.8,17.1,0.9,0.4,13.2,17.4,-0.5,0.0,-0.4,-0.032,-5.6,-2.5,-8.1,-1.0,True,3090480.0,Rookie/Min,3.09048,True,71.18635292899485,-0.1294297325981724,-0.3235743314954311,Rookie/Young,5,400.0,0.3442879499217527,-0.6999999999999998,True,Rookie/Young,-0.31531531531531526,-0.11854476510151243,71.18635292899485,-0.12942973259817248,-0.32357433149543113,-0.06336600252043117,-0.06590064262124842,Fair,0.0
81.0,Aaron Gordon,24.0,ORL,PF,62.0,62.0,2017.0,335.0,767.0,0.437,73.0,237.0,0.308,262.0,530.0,0.494,0.484,151.0,224.0,0.674,107.0,368.0,475.0,228.0,51.0,39.0,100.0,125.0,894.0,1.0,,2020,Aaron Gordon,ORL,32.53225806451613,14.419354838709678,7.661290322580645,3.6774193548387095,True,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0.0,1.0,True,,,,False,,,,Developing,0,576.0,0.44323252354982645,4.93,True,Developing,1.3111702127659575,0.7867901974388056,89.00265654014218,0.3683555136448838,0.09955554422834696,0.15469198247932722,0.14850430318015412,Unknown,0.31
