Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
1,Stephen Curry,GSW,59606817,62587158,,,,,"$122,193,975"
2,Joel Embiid,PHI,55224526,57985752,"$62,624,612","$67,263,472",,,"$175,834,890"
3,Nikola Jokić,DEN,55224526,59033114,"$62,841,702",,,,"$114,257,640"
5,Jayson Tatum,BOS,54126450,58456566,"$62,786,682","$67,116,798","$71,446,914",,"$242,486,496"
6,Giannis Antetokounmpo,MIL,54126450,58456566,"$62,786,682",,,,"$112,583,016"
7,Anthony Davis,DAL,54126450,58456566,"$62,786,682",,,,"$112,583,016"
8,Jimmy Butler,GSW,54126450,56832773,,,,,"$110,959,223"
11,Jaylen Brown,BOS,53142264,57078728,"$61,015,192","$64,951,656",,,"$236,187,840"
12,Devin Booker,PHO,53142264,57078728,"$61,015,192",,,,"$171,236,184"
13,Karl-Anthony Towns,NYK,53142264,57078728,"$61,015,192",,,,"$110,220,992"
15,Paul George,PHI,51666090,54126380,"$56,586,670",,,,"$105,792,470"
16,Kawhi Leonard,LAC,50000000,50300000,,,,,"$100,300,000"
17,Zach LaVine,SAC,47499660,48967380,,,,,"$47,499,660"
18,Evan Mobley,CLE,46394100,50105628,"$53,817,156","$57,528,684","$51,033,510",,"$258,879,078"
19,Jamal Murray,DEN,46394100,50105628,"$53,817,156","$57,528,684",,,"$207,845,568"
20,Lauri Markkanen,UTA,46394100,46113154,"$49,824,681","$53,536,209",,,"$195,868,144"
21,Donovan Mitchell,CLE,46394100,50105628,"$53,817,156",,,,"$96,499,728"
22,Luka Dončić,LAL,45999660,48967380,,,,,"$45,999,660"
23,Trae Young,ATL,45999660,48967380,,,,,"$45,999,660"
24,Anthony Edwards,MIN,45550512,48924624,"$52,298,736","$55,672,848",,,"$202,446,720"
25,Tyrese Haliburton,IND,45550512,48924624,"$52,298,736","$55,672,848",,,"$202,446,720"
26,Pascal Siakam,IND,45550512,48924624,"$52,298,736",,,,"$146,773,872"
27,Domantas Sabonis,SAC,43636000,46772000,"$49,908,000",,,,"$140,316,000"
28,OG Anunoby,NYK,39568966,42500000,"$45,431,034","$48,362,068",,,"$127,500,000"
29,Zion Williamson,NOP,39446090,42166510,"$44,886,930",,,,"$126,499,530"
30,Ja Morant,MEM,39446090,42166510,"$44,886,930",,,,"$126,499,530"
31,Darius Garland,CLE,39446090,42166510,"$44,886,930",,,,"$126,499,530"
32,Scottie Barnes,TOR,38661750,41754690,"$44,847,630","$47,940,570","$51,033,510",,"$224,238,150"
33,Franz Wagner,ORL,38661750,41754690,"$44,847,630","$47,940,570","$51,033,510",,"$224,238,150"
34,Cade Cunningham,DET,38661750,41754690,"$44,847,630","$47,940,570","$51,033,510",,"$224,238,150"
35,Shai Gilgeous-Alexander,OKC,38333050,40806150,,,,,"$79,139,200"
36,Michael Porter Jr.,BRK,38333050,40806150,,,,,"$50,333,050"
37,Brandon Ingram,TOR,38095238,40000000,"$41,904,762",,,,"$78,095,238"
38,Tyrese Maxey,PHI,37958760,40770520,"$43,582,280","$46,394,040",,,"$168,705,600"
39,LaMelo Ball,CHO,37958760,40770520,"$43,582,280","$46,394,040",,,"$168,705,600"
40,Bam Adebayo,MIA,37096620,48713700,"$52,610,796","$56,507,892",,,"$138,421,116"
42,Desmond Bane,ORL,36725670,39446090,"$42,166,510","$44,886,930",,,"$163,225,200"
44,Jalen Suggs,ORL,35000000,32400000,"$29,600,000","$26,800,000","$26,700,000",,"$123,800,000"
45,Rudy Gobert,MIN,35000000,36500000,"$38,000,000",,,,"$71,500,000"
47,Jalen Brunson,NYK,34944001,37739521,"$40,535,041","$43,330,561",,,"$113,218,563"
48,Alperen Şengün,HOU,33944954,35642202,"$37,339,450","$39,036,697","$39,036,697",,"$145,963,303"
49,Jalen Green,PHO,33333333,36000000,"$36,000,000",,,,"$69,333,333"
51,Immanuel Quickley,TOR,32500000,32500000,"$32,500,000","$32,500,000",,,"$130,000,000"
52,Jrue Holiday,POR,32400000,34800000,"$37,200,000",,,,"$67,200,000"
53,Jerami Grant,POR,32000001,34206898,"$36,413,790",,,,"$66,206,899"
54,Jordan Poole,NOP,31848215,34044642,,,,,"$65,892,857"
55,Dejounte Murray,NOP,31557103,33597072,"$31,619,506",,,,"$65,154,175"
56,Tyler Herro,MIA,31000000,33000000,,,,,"$64,000,000"
59,Jalen Johnson,ATL,30000000,30000000,"$30,000,000","$30,000,000","$30,000,000",,"$150,000,000"
60,Isaiah Hartenstein,OKC,28500000,28500000,,,,,"$28,500,000"
61,Andrew Wiggins,MIA,28223215,30169644,,,,,"$28,223,215"
62,Derrick White,BOS,28100000,30348000,"$32,596,000","$34,844,000",,,"$91,044,000"
63,RJ Barrett,TOR,27705357,29616071,,,,,"$57,321,428"
65,Devin Vassell,SAS,27000000,27000000,"$24,652,174","$27,000,000",,,"$105,652,174"
69,Draymond Green,GSW,25892857,27678571,,,,,"$53,571,428"
70,Nic Claxton,BRK,25352272,23147727,"$20,943,184",,,,"$69,443,183"
71,Trey Murphy III,NOP,25000000,27000000,"$29,000,000","$31,000,000",,,"$112,000,000"
72,Miles Bridges,CHO,25000000,22826087,,,,,"$47,826,087"
74,Jaden McDaniels,MIN,24858622,26700001,"$28,541,380","$30,382,755",,,"$110,482,758"
75,DeMar DeRozan,SAC,24570000,25740000,,,,,"$24,570,000"
76,De'Andre Hunter,CLE,23303571,24910714,,,,,"$48,214,285"
77,Aaron Gordon,DEN,22841455,31978037,"$34,536,280","$37,094,523",,,"$89,355,772"
78,Kyle Kuzma,MIL,22410605,20345152,,,,,"$42,755,757"
79,Kentavious Caldwell-Pope,MEM,21621500,21621500,,,,,"$21,621,500"
82,Dillon Brooks,PHO,21124110,19992727,,,,,"$41,116,837"
83,Cameron Johnson,DEN,20543478,22500000,,,,,"$43,043,478"
85,Jarrett Allen,CLE,20000000,28000000,"$30,240,000","$32,480,000",,,"$110,720,000"
86,Jakob Poeltl,TOR,19500000,19500000,,,,,"$39,000,000"
87,Josh Hart,NYK,19472240,20923760,"$22,375,280",,,,"$40,396,000"
91,Malik Monk,SAC,18797619,20190035,"$21,582,451",,,,"$38,987,654"
93,Alex Caruso,OKC,18102000,19550160,"$20,998,320","$22,446,480",,,"$81,096,960"
94,Ivica Zubac,LAC,18102000,19550160,"$20,998,320",,,,"$58,650,480"
95,Andrew Nembhard,IND,18102000,19550160,"$20,998,320",,,,"$58,650,480"
97,Patrick Williams,CHI,18000000,18000000,"$18,000,000","$18,000,000",,,"$54,000,000"
99,Luguentz Dort,OKC,17722222,17722222,,,,,"$17,722,222"
100,Keldon Johnson,SAS,17500000,17500000,,,,,"$35,000,000"
101,Grayson Allen,PHO,16875000,18125000,"$19,375,000",,,,"$35,000,000"
102,Klay Thompson,DAL,16666667,17460317,,,,,"$34,126,984"
103,Bogdan Bogdanović,LAC,16020000,16020000,,,,,"$16,020,000"
104,Max Strus,CLE,15936452,16660836,,,,,"$32,597,288"
105,Terance Mann,BRK,15500000,15500000,"$16,000,000",,,,"$47,000,000"
107,Onyeka Okongwu,ATL,15000000,16120000,"$16,880,000",,,,"$48,000,000"
108,Jonathan Isaac,ORL,15000000,14500000,"$14,500,000","$15,000,000",,,"$44,000,000"
109,Isaiah Stewart,DET,15000000,15000000,"$15,000,000",,,,"$30,000,000"
111,Deni Avdija,POR,14375000,13125000,"$11,875,000",,,,"$39,375,000"
114,Obi Toppin,IND,14000000,15000000,"$16,025,000",,,,"$45,025,000"
115,Corey Kispert,WAS,13975000,13975000,"$13,050,000","$13,050,000",,,"$41,000,000"
