Trade_Away,Trade_Away_Team,Trade_Away_Salary,Trade_For,Trade_For_Team,Trade_For_Salary,Position,Salary_Change,Value_Improvement,Trade_Feasibility,ROI
Bub Carrington,WAS,4.6776,Anfernee Simons,POR,4.636017915608869,Guard,0.041582084391131424,4.345000000000001,High,4.171538724708307
Cody Williams,UTA,5.74248,Anfernee Simons,POR,4.636017915608869,Guard,1.106462084391131,6.775,High,3.2162933528225843
Alex Sarr,WAS,11.80824,Daniel Gafford,DAL,9.842696241166278,Center,1.9655437588337215,7.109999999999999,High,2.3975367009240136
Cody Williams,UTA,5.74248,Ayo Dosunmu,CHI,4.407400111356913,Guard,1.3350798886430866,5.17,High,2.214057011558728
Bub Carrington,WAS,4.6776,Ayo Dosunmu,CHI,4.407400111356913,Guard,0.27019988864308697,2.74,High,2.1571407968922536
Bilal Coulibaly,WAS,7.2756,Amen Thompson,HOU,9.6906,Forward,-2.415,6.904999999999999,High,2.021961932650073
Bilal Coulibaly,WAS,7.2756,Ausar Thompson,DET,8.775,Forward,-1.4994000000000005,4.374999999999999,High,1.750420100824197
Guerschon Yabusele,PHI,12.229518641915192,Daniel Gafford,DAL,9.842696241166278,Center,2.3868224007489136,4.785,High,1.4128287326025462
Cody Williams,UTA,5.74248,A.J. Green,MIL,3.707156101380887,Guard,2.0353238986191124,3.994999999999999,High,1.3161692568682641
Corey Kispert,WAS,13.975,Amen Thompson,HOU,9.6906,Forward,4.2844,6.619999999999999,High,1.2527439255166148
Bub Carrington,WAS,4.6776,A.J. Green,MIL,3.707156101380887,Guard,0.9704438986191128,1.565,High,0.7942372787658415
Corey Kispert,WAS,13.975,Ausar Thompson,DET,8.775,Forward,5.199999999999999,4.09,Medium,0.6596774193548388
Bilal Coulibaly,WAS,7.2756,Cam Whitmore,HOU,3.53976,Forward,3.73584,2.9099999999999993,High,0.6144633264637318
Alex Sarr,WAS,11.80824,Chet Holmgren,OKC,5.562844912895501,Center,6.245395087104499,4.305,Medium,0.5941704970184616
Alex Sarr,WAS,11.80824,Day'Ron Sharpe,BKN,5.42354124038061,Center,6.38469875961939,3.9549999999999987,Medium,0.5355668699211559
